TIPO DE USO,CLASE DE FUENTE,CUENCA,CÓDIGO DE CUENCA,DISPONIBILIDAD HÍDRICA,AUTORIDAD LOCAL DEL AGUA (ALA),AUTORIDAD ADMINISTRATIVA DEL AGUA (AAA),DEPARTAMENTO,PROVINCIA,DISTRITO,RAZÓN SOCIAL,N DE RUC,VIGENTE EN REGISTRO DE LA ANA,TIPO DE PERMISO,TIPO DE FUENTE DE AGUA,NOMBRE DE LA FUENTE DE AGUA,N° DE RESOLUCIÓN
Doméstico,Superficial,Intercuenca Alto Apurímac,4999,Alta,Medio Apurímac Pachachaca,Pampas Apurímac,Apurímac,Antabamba,Juan Espinoza Medrano,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Autorización,Manantial,Trapiche,0269-2008
Minero,Superficial,Cuenca Mantaro,4996,Alta,Huancavelica,Mantaro,Huancavelica,Huancavelica,Huachocolpa,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Licencia,Quebrada,Hatunsusra,0082-2009
Poblacional,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Autorización,Puquial,Patillpujo,0335-2009
Poblacional,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Autorización,Puquial,Ccacapunco,0335-2009
Industrial,Superficial,Cuenca Mantaro,4996,Alta,Huancavelica,Mantaro,Huancavelica,Angaraes,Lircay,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Licencia,Riachuelo,Llulluchaccasa,0532-2009
Minero,Superficial,Cuenca Mantaro,4996,Alta,Huancavelica,Mantaro,Huancavelica,Angaraes,Lircay,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Licencia,Manantial,Esperanza,0532-2009
Minero,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Quebrada,Agani,0154-2009
Minero,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Quebrada,Corire,0154-2009
Minero,Superficial,Cuenca Mantaro,4996,Alta,Huancavelica,Mantaro,Huancavelica,Huancavelica,Huancavelica,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Riachuelo,Jucuccucho,0747-2009
Minero,Superficial,Cuenca Inambari,46648,Alta,Tambota - Inambari,Madre De Dios,Puno,Carabaya,Ollachea,Compañía Minera Kuri Kullu S.A.,,SI,Autorización,Manantial,Maticuyoc Cucho,0012-2013
Minero,Superficial,Cuenca Mantaro,4996,Alta,Huancavelica,Mantaro,Huancavelica,Huancavelica,Huancavelica,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Riachuelo,Ccellumachay,0747-2009
Minero,Superficial,Cuenca Mantaro,4996,Alta,Huancavelica,Mantaro,Huancavelica,Huancavelica,Huachocolpa,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Riachuelo,Jatunhuaycco,0752-2009
Minero,Superficial,Cuenca Mantaro,4996,Alta,Huancavelica,Mantaro,Huancavelica,Huancavelica,Huachocolpa,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Riachuelo,Accuropampa,0752-2009
Poblacional,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Quebrada,Corire,0335-2009
Poblacional,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Quebrada,Corire,0335-2009
Otros usos,Superficial,Cuenca Alto Huallaga,49849,Alta,Pasco,Mantaro,Pasco,Daniel Alcides Carrion,Yanahuanca,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Quebrada,Atalaya,0162-2009
Otros usos,Superficial,Cuenca Alto Huallaga,49849,Alta,Pasco,Mantaro,Pasco,Daniel Alcides Carrion,Yanahuanca,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Quebrada,Carama,0161-2009
Minero,Subterráneo,Cuenca Ocoña,136,Alta,Ocoña Pausa,Caplina Ocoña,Arequipa,Caraveli,Caraveli,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Licencia,Acuífero,Caraveli,0570-2009
Minero,Superficial,Intercuenca Alto Apurímac,4999,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Quebrada,Agani,0006-2010
Minero,Superficial,Cuenca Perene,49954,Alta,Tarma,Ucayali,Junín,Jauja,Ricran,Compañía Minera Londres S.A.C.,,SI,Licencia,Laguna,Cuchimachay,0211-2007
Minero,Superficial,Cuenca Perene,49954,Alta,Tarma,Ucayali,Junín,Jauja,Ricran,Compañía Minera Londres S.A.C.,,SI,Licencia,Quebrada,Titiminas,0221-2007
Minero,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Quebrada,Corire,0006-2010
